date,price
9/19/05,2.954
9/12/05,3.004
9/5/05,3.056
8/29/05,2.77
8/22/05,2.75
8/15/05,2.716
8/8/05,2.601
8/1/05,2.549
7/25/05,2.541
7/18/05,2.538
7/11/05,2.525
7/4/05,2.457
6/27/05,2.412
6/20/05,2.352
6/13/05,2.333
6/6/05,2.36
5/30/05,2.391
5/23/05,2.434
5/16/05,2.473
5/9/05,2.516
5/2/05,2.56
4/25/05,2.565
4/18/05,2.584
4/11/05,2.592
4/4/05,2.464
3/28/05,2.376
3/21/05,2.312
3/14/05,2.287
3/7/05,2.229
2/28/05,2.176
2/21/05,2.15
2/14/05,2.091
2/7/05,2.053
1/31/05,2.034
1/24/05,1.959
1/17/05,1.932
1/10/05,1.932
1/3/05,1.982
12/27/04,2.01
12/20/04,2.049
12/13/04,2.135
12/6/04,2.192
11/29/04,2.236
11/22/04,2.263
11/15/04,2.311
11/8/04,2.341
11/1/04,2.369
10/25/04,2.394
10/18/04,2.402
10/11/04,2.327
10/4/04,2.198
9/27/04,2.094
9/20/04,2.057
9/13/04,2.053
9/6/04,2.073
8/30/04,2.1
8/23/04,2.051
8/16/04,2.055
8/9/04,2.092
8/2/04,2.128
7/26/04,2.162
7/19/04,2.186
7/12/04,2.193
7/5/04,2.204
6/28/04,2.237
6/21/04,2.259
6/14/04,2.289
6/7/04,2.316
5/31/04,2.327
5/24/04,2.324
5/17/04,2.269
5/10/04,2.223
5/3/04,2.115
4/26/04,2.124
4/19/04,2.148
4/12/04,2.157
4/5/04,2.126
3/29/04,2.079
3/22/04,2.083
3/15/04,2.097
3/8/04,2.112
3/1/04,2.109
2/23/04,2.029
2/16/04,1.868
2/9/04,1.821
2/2/04,1.753
1/26/04,1.726
1/19/04,1.69
1/12/04,1.667
1/5/04,1.617
12/29/03,1.595
12/22/03,1.615
12/15/03,1.624
12/8/03,1.652
12/1/03,1.68
11/24/03,1.691
11/17/03,1.681
11/10/03,1.685
11/3/03,1.711
10/27/03,1.737
10/20/03,1.769
10/13/03,1.805
10/6/03,1.854
9/29/03,1.912
9/22/03,1.978
9/15/03,2.034
9/8/03,2.085
9/1/03,2.1
8/25/03,2.101
8/18/03,1.92
